name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors,population_density,GDP Per Capita,exports,imports
Monaco,MCO,True,Euro,French,False,FRA,2.02,39244,UTC+01:00,red;white,25926.8,240535.0,,
Botswana,BWA,True,Botswana pula,English;Tswana,True,NAM;ZAF;ZMB;ZWE,582000.0,2351625,UTC+02:00,lightblue;black;white,4.4,7738.0,United Arab Emirates;Belgium;India,South Africa;Namibia;Canada
Lebanon,LBN,True,Lebanese pound,Arabic;French,False,ISR;SYR,10452.0,6825442,UTC+02:00,red;white;green,567.5,7159.0,United Arab Emirates;Syria;Turkey,China;Turkey;Greece
Papua New Guinea,PNG,True,Papua New Guinean kina,English;Hiri Motu;Tok Pisin,False,IDN,462840.0,8947027,UTC+10:00,red;black;yellow;white,23.4,3117.0,Japan;China;Australia,Australia;China;Singapore
Dominican Republic,DOM,True,Dominican peso,Spanish,False,HTI,48671.0,10847904,UTC-04:00,blue;white;red,236.5,10111.0,United States;Switzerland;Haiti,United States;China;Brazil
Qatar,QAT,True,Qatari riyal,Arabic,False,SAU,11586.0,2881060,UTC+03:00,maroon;white,263.1,87974.0,China;India;South Korea,China;United States;India
Madagascar,MDG,True,Malagasy ariary,French;Malagasy,False,,587041.0,27691019,UTC+03:00,red;green;white,54.9,505.0,France;United States;Japan,China;Oman;France
India,IND,True,Indian rupee,English;Hindi;Tamil,False,BGD;BTN;MMR;CHN;NPL;PAK,3287590.0,1380004385,UTC+05:30,saffronorange;blue;white;green,488.0,2445.0,United States;United Arab Emirates;Netherlands,China;United Arab Emirates;United States
Syria,SYR,True,Syrian pound,Arabic,False,IRQ;ISR;JOR;LBN;TUR,185180.0,17500657,UTC+02:00,red;white;black;green,134.3,840.0,Saudi Arabia;Turkey;Lebanon,Turkey;Russia;United Arab Emirates
Montenegro,MNE,True,Euro,Montenegrin,False,ALB;BIH;HRV;UNK;SRB,13812.0,621718,UTC+01:00,red;gold,46.2,9935.0,Serbia;Switzerland;Bosnia and Herzegovina,Serbia;China;Greece
Eswatini,SWZ,True,Swazi lilangeni;South African rand,English;Swazi,True,MOZ;ZAF,17364.0,1160164,UTC+02:00,blue;yellow;red;black;white,71.6,3601.0,South Africa;Kenya;Nigeria,South Africa;China;India
Paraguay,PRY,True,Paraguayan guaraní,Guaraní;Spanish,True,ARG;BOL;BRA,406752.0,7132530,UTC-04:00,red;white;blue,17.1,6153.0,Argentina;Brazil;Chile,China;Brazil;United States
El Salvador,SLV,True,United States dollar,Spanish,False,GTM;HND,21041.0,6486201,UTC-06:00,blue;white,305.9,5127.0,United States;Guatemala;Honduras,United States;China;Guatemala
Ukraine,UKR,True,Ukrainian hryvnia,Ukrainian,False,BLR;HUN;MDA;POL;ROU;RUS;SVK,603500.0,44134693,UTC+02:00,blue;gold,65.4,4043.0,Poland;Romania;China,China;Poland;Germany
