name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors
Mexico,MEX,True,Mexican peso,Spanish,False,BLZ;GTM;USA,1964375.0,128932753,UTC-08:00;UTC-07:00;UTC-06:00,green;white;red
Gabon,GAB,True,Central African CFA franc,French,False,CMR;COG;GNQ,267668.0,2225728,UTC+01:00,green;yellow;blue
North Macedonia,MKD,True,denar,Macedonian,True,ALB;BGR;GRC;UNK;SRB,25713.0,2077132,UTC+01:00,red;yellow
China,CHN,True,Chinese yuan,Chinese,False,AFG;BTN;MMR;HKG;IND;KAZ;NPL;PRK;KGZ;LAO;MAC;MNG;PAK;RUS;TJK;VNM,9706961.0,1402112000,UTC+08:00,red;yellow
Yemen,YEM,True,Yemeni rial,Arabic,False,OMN;SAU,527968.0,29825968,UTC+03:00,red;white;black
Solomon Islands,SLB,True,Solomon Islands dollar,English,False,,28896.0,686878,UTC+11:00,olivegreen;yellow;blue
Uzbekistan,UZB,True,Uzbekistani soʻm,Russian;Uzbek,True,AFG;KAZ;KGZ;TJK;TKM,447400.0,34232050,UTC+05:00,blue;white;green;red
Egypt,EGY,True,Egyptian pound,Arabic,False,ISR;LBY;PSE;SDN,1002450.0,102334403,UTC+02:00,red;white;black
Senegal,SEN,True,West African CFA franc,French,False,GMB;GIN;GNB;MLI;MRT,196722.0,16743930,UTC,green;yellow;red
Sri Lanka,LKA,True,Sri Lankan rupee,Sinhala;Tamil,False,IND,65610.0,21919000,UTC+05:30,blue;yellow
Bangladesh,BGD,True,Bangladeshi taka,Bengali,False,MMR;IND,147570.0,164689383,UTC+06:00,red;green
Peru,PER,True,Peruvian sol,Aymara;Quechua;Spanish,False,BOL;BRA;CHL;COL;ECU,1285216.0,32971846,UTC-05:00,red;white
Singapore,SGP,True,Singapore dollar,English;Chinese;Malay;Tamil,False,,710.0,5685807,UTC+08:00,red;white
Turkey,TUR,True,Turkish lira,Turkish,False,ARM;AZE;BGR;GEO;GRC;IRN;IRQ;SYR,783562.0,84339067,UTC+03:00,red;white
Afghanistan,AFG,True,Afghan afghani,Dari;Pashto;Turkmen,True,IRN;PAK;TKM;UZB;TJK;CHN,652230.0,40218234,UTC+04:30,black;red;green;white
United Kingdom,GBR,True,British pound,English,False,IRL,242900.0,67215293,UTC-08:00;UTC-05:00;UTC-04:00;UTC-03:00;UTC-02:00;UTC;UTC+01:00;UTC+02:00;UTC+06:00,red;white;blue
Zambia,ZMB,True,Zambian kwacha,English,True,AGO;BWA;COD;MWI;MOZ;NAM;TZA;ZWE,752612.0,18383956,UTC+02:00,green;red;black;orange
Finland,FIN,True,Euro,Finnish;Swedish,False,NOR;SWE;RUS,338424.0,5530719,UTC+02:00,white;blue
Niger,NER,True,West African CFA franc,French,True,DZA;BEN;BFA;TCD;LBY;MLI;NGA,1267000.0,24206636,UTC+01:00,orange;white;green
Guinea-Bissau,GNB,False,West African CFA franc,Portuguese;Upper Guinea Creole,False,GIN;SEN,36125.0,1967998,UTC,red;yellow;green;black
Azerbaijan,AZE,True,Azerbaijani manat,Azerbaijani,True,ARM;GEO;IRN;RUS;TUR,86600.0,10110116,UTC+04:00,skyblue;red;green
Djibouti,DJI,True,Djiboutian franc,Arabic;French,False,ERI;ETH;SOM,23200.0,988002,UTC+03:00,lightblue;green;white;red
North Korea,PRK,True,North Korean won,Korean,False,CHN;KOR;RUS,120538.0,25778815,UTC+09:00,red;white;blue
Mauritius,MUS,True,Mauritian rupee,English;French;Mauritian Creole,False,,2040.0,1265740,UTC+04:00,red;blue;yellow;green
Colombia,COL,True,Colombian peso,Spanish,False,BRA;ECU;PAN;PER;VEN,1141748.0,50882884,UTC-05:00,yellow;blue;red
Greece,GRC,True,Euro,Greek,False,ALB;BGR;TUR;MKD,131990.0,10715549,UTC+02:00,blue;white
Croatia,HRV,True,Euro,Croatian,False,BIH;HUN;MNE;SRB;SVN,56594.0,4047200,UTC+01:00,red;white;blue
Morocco,MAR,True,Moroccan dirham,Arabic;Berber,False,DZA;ESH;ESP,446550.0,36910558,UTC,red;green
Algeria,DZA,True,Algerian dinar,Arabic,False,TUN;LBY;NER;ESH;MRT;MLI;MAR,2381741.0,44700000,UTC+01:00,green;white;red
Netherlands,NLD,True,Euro,Dutch,False,BEL;DEU,41850.0,16655799,UTC+01:00,red;white;blue
Sudan,SDN,True,Sudanese pound,Arabic;English,False,CAF;TCD;EGY;ERI;ETH;LBY;SSD,1886068.0,43849269,UTC+03:00,red;white;black;green
Fiji,FJI,True,Fijian dollar,English;Fijian;Fiji Hindi,False,,18272.0,896444,UTC+12:00,lightblue
Liechtenstein,LIE,True,Swiss franc,German,True,AUT;CHE,160.0,38137,UTC+01:00,blue;red
Nepal,NPL,True,Nepalese rupee,Nepali,True,CHN;IND,147181.0,29136808,UTC+05:45,crimson;blue;white
Georgia,GEO,True,lari,Georgian,False,ARM;AZE;RUS;TUR,69700.0,3714000,UTC+04:00,red;white
Pakistan,PAK,True,Pakistani rupee,English;Urdu,False,AFG;CHN;IND;IRN,881912.0,220892331,UTC+05:00,green;white
Monaco,MCO,True,Euro,French,False,FRA,2.02,39244,UTC+01:00,red;white
Botswana,BWA,True,Botswana pula,English;Tswana,True,NAM;ZAF;ZMB;ZWE,582000.0,2351625,UTC+02:00,lightblue;black;white
Lebanon,LBN,True,Lebanese pound,Arabic;French,False,ISR;SYR,10452.0,6825442,UTC+02:00,red;white;green
Papua New Guinea,PNG,True,Papua New Guinean kina,English;Hiri Motu;Tok Pisin,False,IDN,462840.0,8947027,UTC+10:00,red;black;yellow;white
Dominican Republic,DOM,True,Dominican peso,Spanish,False,HTI,48671.0,10847904,UTC-04:00,blue;white;red
